"","decimalLatitude","decimalLongitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"Carex aboriginum",4.29615102610908,2.97291377974854,27.0554985169374,21.0792156716832,4.05517502019881,392.309826540198,36.3608458525254,27.960289300681,16.5630109984065,64.4885864147896,72.1141071111918,31.1037689749079,25.2388589282479,42.1518419262762,9.82061324177082,1.73205080756888,2.90593262902712,22.8059446441298,7.53510303697154,45.3223025795371,19
"Carex abrupta",0.126927541950422,0.0883523257015977,1.60941499514604,0.760791358241087,0.148559913444722,28.0517879092093,2.01897973825244,1.53255397433166,1.44750903775653,1.56158895943524,1.72906793614718,1.63458770420267,1.58798507993805,14.227741396822,2.58295613074833,0.284174696212555,0.570334651394435,7.28475365746878,0.907330396438706,0.948594978468013,7.04382046416185
"Carex abscondita",0.355819168914088,0.632266187066465,3.10600754465311,1.01955409614379,0.430495354064246,84.8194219485061,1.91258492947272,3.79254116306655,2.39894358764777,7.28672887602431,8.24444724930639,2.09610108200506,4.12293516698569,16.1881358396346,2.45961304539431,0.921226901382834,0.525449899239135,6.24053024456595,2.88946541873053,6.04739110388399,6.7602897275986
"Carex acaulis",4.30677745742426,2.24173119213205,26.847304851284,19.2959408512084,3.21455025366432,523.613831410558,42.7122152707318,8.73689494805411,34.0196021924615,61.4310815286348,14.422205101856,34.1971408811387,20.267653484747,154.676364638486,33.7655314057266,1.20185042515466,11.2694276695846,92.1761598486531,6.66666666666667,54.3885200305277,109.494292088675
"Carex accrescens",2.6971032721578,3.43159926541788,18.3392631102935,4.13521462562707,0.573211504221111,721.770808498099,5.59336341441483,24.9708401369048,20.1947659414159,9.75924470145396,16.5140632708696,8.01159873469174,24.7002024283203,94.9170314387405,14.9642430957457,5.2139921639483,1.2363540870525,36.0055551269523,15.9364810598648,34.2734799600424,12.6970187726996
"Carex acicularis",0.216252115128517,0.315422648227712,1.72583333733195,0.592146863926977,0.149445968690657,30.8423641281124,1.39063575524108,1.99226247051135,1.33090641533094,2.02971063666076,4.80802470804687,1.51783940387155,2.04575985847805,77.6078734331667,7.6201983797228,4.50401768689044,0.383442358980173,22.1705656220946,17.2130148146435,18.6830930377975,18.3768765305253
"Carex acidicola",0.20810202635926,0.60151833188966,2.02030508910442,0.428571428571429,0.285714285714286,78.2707232779216,0.690065559342354,2.93929511657352,2.88203442883314,9.79240299735387,8.83137572968739,1.13389341902768,3.11459150967006,36.975170930046,4.41857550844268,4.93012397906783,0.96890428330361,12.2357789173508,7.9577968441174,4.08164965982852,12.1492980116907
"Carex acuta",0.0368362244663291,0.0712233829853121,0.203450677895978,0.070393192372622,0.0383864123100253,11.1073957608886,0.106234313711957,0.378802025926403,0.374347374302792,0.312916614098418,0.324169373945576,0.0879547443301161,0.335262807275316,0.971723945007788,0.0893903686251766,0.0800563931653472,0.0609570937828221,0.25429466052741,0.265516664465139,0.205121672462312,0.326125240896653
"Carex acutiformis",0.0258492437820154,0.0415295017084928,0.100007306074067,0.0915106069625616,0.0371760946126428,5.04272728506259,0.139930985231712,0.18234083941299,0.177240840401636,0.372335522508754,0.233006963703093,0.0828897231480894,0.139557085997078,1.02558529293986,0.118782855611518,0.0795424447973721,0.0429155167580395,0.343203957128005,0.245869772257491,0.259446226112326,0.367639603898083
"Carex adelostoma",0.0466978354294263,0.125903737784968,0.314460281472689,0.130838272480365,0.0237469612659091,17.4653036039457,0.301833342254648,0.579852986243706,0.654311323564204,0.592577346975548,0.615385734083907,0.2750416324028,0.476834575812646,4.83287132677859,0.534222066364633,0.233461848580582,0.0822035602096978,1.5083300398485,0.836429500302344,0.749002738685458,1.52187576243525
